Age,Health Challenge,Class Participation,Academic Performance before Jamb/Waec,Study Habits,Assignment/Homework Completion,Extracurricular Involvement,Disciplinary Issue,Attendance Status,Motivation for Jamb/Waec,Resource Access (1-3),Understanding of Material (1-3),Time Management (1-3),Tutorial Hours for Jamb/Waec,Daily Self Study Hours for Jamb/Waec,Jamb Score,Family Income Range,Parent Education Level,Living Conditions,Parent Engagement with School/Teachers,Exam Status
27,Yes,Active,Excellent,Poor,Sometimes,Low,Yes,Irregular,Moderate,3,1,2,79,7,251,Low,Primary,Poor,High,Pass
20,Yes,Moderate,Good,Average,Sometimes,None,No,Very Poor,Low,2,3,1,63,3,341,Low,Secondary,Good,High,Pass
29,No,Moderate,Fair,Poor,Always,None,Yes,Very Poor,Low,2,1,1,18,11,243,Low,Tertiary,Poor,Moderate,Pass
21,No,Active,Good,Poor,Rarely,High,No,Irregular,Low,1,3,2,100,8,334,Low,Primary,Good,High,Pass
17,No,Active,Poor,Good,Always,High,Yes,Irregular,Moderate,1,3,3,73,6,271,Low,Primary,Poor,High,Pass
23,Yes,Moderate,Poor,Poor,Rarely,Moderate,No,Very Poor,High,2,1,3,44,3,163,Medium,Tertiary,Good,Low,Fail
27,No,Rarely,Fair,Poor,Always,Low,No,Very Poor,High,2,2,3,70,9,310,High,Secondary,Good,Moderate,Pass
26,Yes,Rarely,Poor,Poor,Rarely,Moderate,Yes,Very Poor,Moderate,3,3,3,51,5,257,Medium,Secondary,Poor,High,Pass
20,Yes,Moderate,Fair,Good,Rarely,Moderate,Yes,Irregular,Moderate,2,2,2,71,9,327,Medium,Tertiary,Moderate,Low,Pass
24,Yes,Moderate,Excellent,Average,Sometimes,None,Yes,Regular,Low,2,1,3,59,3,230,Low,Tertiary,Poor,Moderate,Pass
19,No,Moderate,Good,Poor,Sometimes,Moderate,Yes,Irregular,Moderate,1,2,1,31,8,373,High,Secondary,Moderate,High,Pass
19,Yes,Rarely,Poor,Poor,Rarely,None,Yes,Irregular,High,1,1,2,10,1,390,High,Tertiary,Moderate,Moderate,Pass
27,No,Active,Fair,Poor,Rarely,None,Yes,Very Poor,Moderate,1,3,2,67,5,104,Low,Secondary,Moderate,High,Fail
28,Yes,Moderate,Poor,Good,Always,Low,Yes,Irregular,Low,3,1,1,48,9,118,Medium,Primary,Moderate,High,Fail
30,Yes,Moderate,Excellent,Average,Always,Moderate,Yes,Very Poor,Moderate,3,3,3,8,3,372,Low,Primary,Moderate,High,Pass
16,No,Moderate,Fair,Good,Sometimes,None,Yes,Regular,Moderate,1,1,3,51,5,251,Low,Tertiary,Good,High,Pass
29,No,Active,Poor,Good,Rarely,Low,No,Regular,High,1,3,2,100,1,373,Low,Tertiary,Moderate,Low,Pass
19,No,Active,Poor,Poor,Always,Low,Yes,Very Poor,High,3,2,3,42,4,311,Medium,Primary,Moderate,Moderate,Pass
18,No,Rarely,Excellent,Poor,Always,Low,No,Very Poor,Moderate,1,1,3,49,6,306,Low,Tertiary,Moderate,Low,Pass
21,Yes,Moderate,Excellent,Average,Sometimes,Moderate,No,Regular,Moderate,1,3,2,86,5,362,Medium,Primary,Good,High,Pass
20,Yes,Rarely,Fair,Poor,Sometimes,Low,No,Regular,Low,2,3,2,53,3,335,High,Tertiary,Poor,Low,Pass
25,Yes,Active,Good,Poor,Always,High,Yes,Regular,High,3,1,2,23,8,314,High,Secondary,Good,Low,Pass
17,Yes,Rarely,Poor,Good,Sometimes,Low,Yes,Irregular,Low,2,1,1,70,3,263,High,Secondary,Poor,Low,Pass
26,Yes,Rarely,Poor,Average,Rarely,Low,Yes,Very Poor,Moderate,2,1,3,35,10,264,Medium,Primary,Moderate,High,Pass
27,Yes,Active,Excellent,Good,Rarely,None,No,Irregular,High,2,1,1,56,7,167,High,Secondary,Good,Moderate,Fail
28,Yes,Moderate,Poor,Poor,Rarely,Low,No,Very Poor,Low,3,3,3,59,8,278,Medium,Primary,Poor,Moderate,Pass
25,Yes,Moderate,Poor,Poor,Rarely,Low,Yes,Regular,Low,3,2,1,52,3,268,High,Tertiary,Poor,Moderate,Pass
20,No,Moderate,Poor,Poor,Sometimes,Low,Yes,Very Poor,Low,1,2,1,56,4,344,Medium,Secondary,Good,High,Pass
26,No,Active,Good,Poor,Always,High,Yes,Irregular,High,1,3,1,47,4,138,High,Secondary,Poor,High,Fail
18,Yes,Active,Poor,Good,Rarely,Moderate,Yes,Regular,Low,2,1,2,14,12,339,Medium,Secondary,Good,High,Pass
24,Yes,Rarely,Excellent,Average,Sometimes,High,No,Regular,Moderate,1,1,3,66,8,331,Low,Tertiary,Good,Low,Pass
19,No,Rarely,Poor,Average,Rarely,Moderate,No,Irregular,High,1,3,2,67,0,264,Medium,Tertiary,Poor,Low,Pass
16,Yes,Moderate,Good,Poor,Rarely,Low,No,Regular,High,3,3,1,38,7,286,High,Primary,Poor,Low,Pass
25,Yes,Rarely,Excellent,Poor,Sometimes,Moderate,Yes,Irregular,Moderate,3,1,3,81,7,265,Medium,Tertiary,Poor,Moderate,Pass
27,Yes,Moderate,Fair,Good,Always,None,No,Irregular,Low,1,1,1,59,4,258,Medium,Secondary,Poor,Moderate,Pass
18,Yes,Active,Excellent,Average,Rarely,None,Yes,Regular,Moderate,1,1,3,79,6,344,High,Primary,Poor,High,Pass
28,Yes,Active,Good,Good,Sometimes,High,No,Very Poor,Low,1,3,1,23,1,114,High,Tertiary,Poor,Moderate,Fail
27,No,Rarely,Fair,Poor,Rarely,Low,No,Irregular,High,2,2,2,13,2,304,Medium,Tertiary,Moderate,Low,Pass
16,Yes,Moderate,Poor,Poor,Always,Low,No,Irregular,High,3,3,1,47,9,181,High,Tertiary,Poor,High,Fail
18,Yes,Rarely,Good,Good,Always,Low,No,Irregular,Moderate,3,3,1,34,6,236,Medium,Primary,Moderate,Moderate,Pass
21,Yes,Moderate,Excellent,Poor,Rarely,High,Yes,Irregular,Low,3,1,1,77,5,288,Medium,Secondary,Good,Moderate,Pass
30,Yes,Moderate,Fair,Average,Always,High,No,Regular,Low,2,2,3,55,8,351,Low,Primary,Good,High,Pass
28,No,Moderate,Poor,Average,Always,Low,Yes,Irregular,Moderate,1,1,3,86,6,204,High,Primary,Poor,High,Pass
29,No,Moderate,Poor,Good,Rarely,Moderate,Yes,Irregular,Moderate,1,2,1,86,10,369,High,Tertiary,Poor,High,Pass
23,No,Rarely,Fair,Poor,Sometimes,Low,No,Irregular,Low,2,2,2,62,1,194,Medium,Tertiary,Moderate,Moderate,Fail
26,No,Moderate,Poor,Average,Always,Low,Yes,Irregular,High,2,1,2,88,5,164,Low,Primary,Moderate,High,Fail
17,No,Moderate,Excellent,Poor,Always,High,No,Very Poor,High,2,1,3,80,6,311,Medium,Secondary,Good,Low,Pass
23,No,Rarely,Good,Good,Rarely,Moderate,No,Regular,Low,3,1,3,100,6,156,Medium,Tertiary,Good,High,Fail
26,No,Rarely,Excellent,Good,Rarely,Low,Yes,Regular,Low,2,1,1,65,10,371,High,Primary,Poor,Low,Pass
29,No,Moderate,Fair,Average,Sometimes,High,Yes,Regular,High,2,3,3,9,6,304,Low,Primary,Moderate,High,Pass
16,No,Rarely,Fair,Average,Rarely,Low,No,Irregular,Low,3,3,3,82,2,201,High,Tertiary,Moderate,Moderate,Pass
22,No,Moderate,Poor,Good,Sometimes,High,Yes,Regular,Moderate,3,2,2,30,9,126,Low,Primary,Moderate,Moderate,Fail
29,Yes,Active,Good,Average,Sometimes,Low,No,Regular,Low,1,1,2,49,8,193,Low,Tertiary,Moderate,Moderate,Fail
26,No,Rarely,Good,Average,Sometimes,High,Yes,Regular,Moderate,1,1,3,32,5,101,Low,Primary,Good,High,Fail
29,Yes,Moderate,Fair,Average,Always,None,No,Irregular,High,3,1,2,56,9,196,High,Secondary,Poor,Low,Fail
20,Yes,Moderate,Excellent,Good,Always,Low,Yes,Irregular,Low,3,3,1,73,0,305,High,Primary,Moderate,Low,Pass
27,Yes,Rarely,Fair,Average,Rarely,None,Yes,Regular,Low,1,3,1,12,9,313,High,Tertiary,Good,Moderate,Pass
21,Yes,Active,Poor,Good,Sometimes,Moderate,Yes,Very Poor,Low,3,1,2,73,0,103,Low,Primary,Moderate,Moderate,Fail
26,No,Moderate,Good,Poor,Always,Moderate,Yes,Very Poor,Moderate,1,1,1,7,12,395,Medium,Secondary,Poor,Moderate,Pass
30,Yes,Rarely,Poor,Average,Always,None,No,Very Poor,High,2,2,3,45,4,147,Low,Primary,Poor,High,Fail
27,No,Active,Poor,Good,Rarely,None,No,Very Poor,Low,2,2,2,50,5,313,Medium,Tertiary,Good,Moderate,Pass
28,Yes,Active,Fair,Good,Always,None,Yes,Very Poor,Moderate,2,2,3,70,8,177,High,Secondary,Poor,High,Fail
17,Yes,Active,Excellent,Poor,Sometimes,High,No,Regular,Moderate,2,1,1,28,8,190,High,Primary,Good,Moderate,Fail
27,No,Moderate,Fair,Poor,Sometimes,High,No,Irregular,Moderate,2,1,3,65,1,196,Low,Tertiary,Moderate,Low,Fail
26,No,Active,Poor,Poor,Rarely,High,Yes,Very Poor,Low,3,3,1,98,8,349,High,Primary,Poor,Moderate,Pass
30,Yes,Moderate,Fair,Good,Always,None,No,Very Poor,Moderate,3,3,1,46,4,182,Medium,Tertiary,Moderate,Low,Fail
25,Yes,Active,Good,Poor,Sometimes,Moderate,No,Very Poor,Moderate,2,3,3,32,11,104,Low,Secondary,Poor,Moderate,Fail
25,Yes,Rarely,Poor,Good,Sometimes,None,No,Irregular,High,1,3,2,53,10,363,Medium,Tertiary,Moderate,Moderate,Pass
28,No,Moderate,Excellent,Good,Sometimes,Moderate,No,Irregular,Low,1,2,3,42,7,249,Low,Secondary,Good,Moderate,Pass
22,Yes,Rarely,Poor,Good,Always,None,Yes,Irregular,Moderate,1,3,1,35,2,181,Medium,Primary,Good,Low,Fail
18,No,Active,Excellent,Poor,Sometimes,Moderate,No,Irregular,High,2,3,2,100,10,353,Low,Tertiary,Poor,High,Pass
25,No,Rarely,Poor,Average,Sometimes,Moderate,No,Regular,Moderate,1,3,3,60,7,174,Medium,Primary,Moderate,High,Fail
18,No,Rarely,Excellent,Average,Always,High,No,Irregular,Low,1,1,3,47,0,353,Low,Primary,Moderate,High,Pass
25,Yes,Rarely,Poor,Poor,Rarely,None,No,Very Poor,High,1,2,2,62,11,239,High,Secondary,Poor,High,Pass
16,No,Active,Excellent,Average,Sometimes,High,Yes,Irregular,Moderate,2,3,2,23,10,194,Low,Primary,Poor,Low,Fail
17,Yes,Moderate,Poor,Good,Rarely,Moderate,No,Regular,Moderate,3,2,1,77,3,360,Low,Secondary,Poor,High,Pass
26,No,Active,Good,Poor,Sometimes,None,Yes,Irregular,Low,2,3,2,42,8,100,High,Secondary,Poor,Low,Fail
16,Yes,Rarely,Poor,Good,Sometimes,Low,No,Regular,High,3,1,2,81,3,147,Low,Tertiary,Good,Low,Fail
28,Yes,Rarely,Excellent,Poor,Always,High,No,Very Poor,Low,1,3,1,83,9,265,Low,Tertiary,Moderate,High,Pass
27,No,Moderate,Good,Poor,Always,None,No,Regular,High,3,3,3,42,2,298,Low,Primary,Good,Moderate,Pass
24,No,Moderate,Excellent,Good,Always,Low,No,Regular,High,2,1,2,51,9,244,High,Primary,Moderate,Moderate,Pass
26,No,Moderate,Good,Good,Rarely,High,Yes,Irregular,High,2,1,3,55,10,225,Low,Secondary,Poor,High,Pass
24,Yes,Rarely,Fair,Average,Always,High,Yes,Irregular,Low,2,3,2,90,9,390,Low,Primary,Poor,Low,Pass
28,Yes,Moderate,Good,Poor,Sometimes,Moderate,No,Very Poor,Low,2,2,1,19,10,369,High,Primary,Good,Moderate,Pass
19,Yes,Moderate,Excellent,Good,Sometimes,High,Yes,Very Poor,Low,1,2,3,91,2,371,Medium,Secondary,Poor,High,Pass
17,No,Active,Poor,Average,Always,High,Yes,Regular,Moderate,3,2,1,6,8,275,Low,Primary,Good,Low,Pass
25,No,Active,Excellent,Good,Rarely,Moderate,No,Regular,High,3,2,1,77,0,279,Low,Secondary,Poor,High,Pass
27,No,Active,Poor,Good,Rarely,Moderate,No,Regular,Moderate,1,1,2,93,1,223,High,Secondary,Good,High,Pass
26,Yes,Rarely,Good,Average,Sometimes,High,No,Regular,Moderate,2,1,1,3,7,199,High,Primary,Moderate,Low,Fail
19,No,Rarely,Excellent,Poor,Always,Low,No,Irregular,High,1,1,3,55,4,354,Medium,Secondary,Good,High,Pass
29,Yes,Rarely,Excellent,Good,Rarely,Moderate,Yes,Irregular,Low,3,3,1,75,4,328,Medium,Primary,Good,Low,Pass
27,No,Rarely,Good,Average,Rarely,Low,No,Very Poor,High,1,1,3,35,9,380,High,Primary,Moderate,Low,Pass
23,Yes,Moderate,Fair,Poor,Rarely,Low,No,Regular,High,2,2,2,21,2,105,Low,Secondary,Good,Low,Fail
26,Yes,Rarely,Fair,Poor,Rarely,Low,Yes,Very Poor,Low,3,2,1,41,4,248,Medium,Secondary,Poor,High,Pass
25,Yes,Active,Excellent,Average,Rarely,None,No,Regular,High,1,3,3,39,7,251,High,Primary,Poor,High,Pass
18,Yes,Active,Excellent,Good,Always,None,No,Regular,Moderate,2,2,3,51,9,110,High,Secondary,Poor,Low,Fail
25,Yes,Moderate,Good,Good,Rarely,Moderate,Yes,Regular,Moderate,1,1,2,49,12,109,High,Primary,Good,Low,Fail
22,No,Active,Poor,Average,Rarely,Moderate,No,Irregular,High,2,1,2,4,5,382,Low,Secondary,Good,High,Pass
26,No,Active,Good,Good,Always,High,Yes,Regular,Moderate,1,2,3,98,1,299,Medium,Primary,Moderate,High,Pass
17,No,Moderate,Fair,Average,Rarely,None,Yes,Irregular,High,3,3,1,4,5,389,High,Tertiary,Poor,High,Pass
16,No,Active,Fair,Poor,Sometimes,Low,Yes,Regular,High,2,2,2,77,8,326,Low,Tertiary,Poor,Moderate,Pass
28,No,Active,Excellent,Average,Rarely,Low,No,Irregular,Moderate,1,2,2,16,8,390,Low,Tertiary,Moderate,Moderate,Pass
29,Yes,Active,Poor,Average,Always,Moderate,Yes,Irregular,Low,2,2,2,95,9,215,Low,Tertiary,Moderate,Moderate,Pass
25,Yes,Moderate,Excellent,Poor,Always,Low,Yes,Irregular,High,2,2,3,97,2,288,High,Secondary,Poor,High,Pass
17,No,Rarely,Poor,Poor,Always,High,Yes,Regular,Low,3,2,1,97,6,112,Medium,Primary,Good,Moderate,Fail
18,Yes,Rarely,Fair,Average,Rarely,None,No,Irregular,High,3,1,3,37,10,328,Medium,Secondary,Poor,Moderate,Pass
30,No,Rarely,Good,Poor,Always,None,No,Very Poor,Low,3,1,2,87,11,133,High,Primary,Good,Low,Fail
23,No,Moderate,Excellent,Average,Rarely,Moderate,No,Very Poor,Low,3,3,2,3,0,271,Low,Tertiary,Poor,Low,Pass
22,Yes,Moderate,Excellent,Average,Rarely,Low,No,Very Poor,Moderate,3,1,2,62,3,288,Medium,Primary,Moderate,Moderate,Pass
30,No,Moderate,Poor,Good,Always,None,No,Regular,Low,2,2,1,46,5,204,Low,Secondary,Good,High,Pass
16,No,Rarely,Good,Average,Sometimes,High,Yes,Irregular,Low,1,1,2,91,7,357,High,Primary,Good,Low,Pass
20,No,Rarely,Excellent,Average,Rarely,Moderate,No,Very Poor,Low,3,3,1,99,5,173,High,Primary,Poor,Low,Fail
22,Yes,Moderate,Fair,Good,Always,Moderate,Yes,Irregular,Moderate,2,3,1,68,10,103,High,Tertiary,Good,Moderate,Fail
27,Yes,Active,Fair,Poor,Rarely,Moderate,Yes,Regular,High,3,3,2,41,5,121,Medium,Secondary,Moderate,Moderate,Fail
24,Yes,Moderate,Good,Poor,Sometimes,Low,Yes,Very Poor,Low,1,2,1,3,0,131,Low,Primary,Moderate,High,Fail
26,No,Active,Good,Average,Sometimes,Moderate,Yes,Regular,Moderate,2,1,2,45,8,330,Medium,Secondary,Poor,Moderate,Pass
30,No,Moderate,Excellent,Good,Rarely,High,Yes,Very Poor,High,2,1,1,70,9,183,High,Primary,Poor,High,Fail
20,No,Rarely,Fair,Average,Always,Moderate,Yes,Very Poor,Moderate,1,1,2,10,9,256,Low,Secondary,Poor,High,Pass
26,No,Active,Fair,Average,Rarely,Moderate,Yes,Regular,High,3,3,1,31,12,130,Medium,Secondary,Poor,High,Fail
26,Yes,Active,Excellent,Good,Always,None,Yes,Irregular,Low,2,2,2,17,11,338,Low,Primary,Poor,High,Pass
21,No,Moderate,Excellent,Good,Sometimes,Low,Yes,Regular,Moderate,1,3,1,49,3,267,High,Tertiary,Good,Moderate,Pass
25,Yes,Active,Fair,Good,Always,None,Yes,Regular,Moderate,2,1,2,100,4,179,High,Tertiary,Good,Low,Fail
27,Yes,Moderate,Good,Poor,Rarely,Moderate,Yes,Regular,Moderate,1,3,2,25,1,356,High,Secondary,Poor,Low,Pass
19,No,Rarely,Excellent,Good,Rarely,High,No,Regular,Low,2,1,1,33,10,207,Medium,Tertiary,Good,Low,Pass
26,No,Moderate,Good,Average,Always,High,No,Regular,Moderate,2,1,1,42,9,288,Medium,Primary,Poor,Low,Pass
21,No,Active,Good,Average,Sometimes,Moderate,No,Irregular,Low,3,3,3,12,4,223,High,Primary,Good,Moderate,Pass
27,No,Moderate,Poor,Good,Always,Low,Yes,Very Poor,Low,2,2,2,38,1,323,Low,Secondary,Good,Low,Pass
30,No,Active,Poor,Good,Sometimes,High,No,Very Poor,Moderate,2,3,3,70,9,150,Low,Secondary,Moderate,Moderate,Fail
17,No,Active,Excellent,Good,Rarely,None,Yes,Regular,Low,2,3,1,4,0,274,Low,Primary,Good,Moderate,Pass
20,Yes,Active,Poor,Good,Rarely,Moderate,Yes,Regular,Low,1,1,3,71,10,218,Medium,Primary,Good,High,Pass
28,Yes,Active,Fair,Average,Always,Moderate,No,Irregular,Moderate,1,3,1,20,8,266,High,Secondary,Good,Moderate,Pass
16,Yes,Moderate,Excellent,Average,Always,High,No,Regular,High,2,1,1,20,1,373,Low,Primary,Moderate,High,Pass
20,No,Moderate,Poor,Average,Rarely,Moderate,Yes,Regular,High,3,1,2,36,12,353,Low,Secondary,Moderate,High,Pass
21,No,Moderate,Good,Good,Always,None,Yes,Irregular,Moderate,2,3,1,82,12,188,High,Tertiary,Moderate,Moderate,Fail
26,Yes,Moderate,Fair,Poor,Always,High,Yes,Irregular,Moderate,1,1,3,21,8,244,Medium,Primary,Good,Moderate,Pass
26,No,Rarely,Fair,Good,Always,Moderate,Yes,Regular,Moderate,1,2,1,52,1,321,Low,Secondary,Good,High,Pass
29,Yes,Active,Poor,Poor,Always,Low,Yes,Irregular,Moderate,1,2,3,30,12,185,High,Primary,Poor,High,Fail
18,No,Active,Good,Poor,Sometimes,High,No,Very Poor,High,2,2,2,64,8,224,High,Tertiary,Poor,Moderate,Pass
23,No,Moderate,Excellent,Good,Always,High,Yes,Irregular,Low,1,2,2,24,9,370,Low,Primary,Moderate,Moderate,Pass
26,No,Active,Excellent,Poor,Rarely,None,Yes,Very Poor,High,3,3,2,49,6,331,High,Secondary,Good,Moderate,Pass
21,No,Rarely,Fair,Poor,Always,Moderate,Yes,Very Poor,High,3,2,3,13,2,250,Medium,Primary,Moderate,Moderate,Pass
20,No,Moderate,Poor,Average,Always,Moderate,No,Very Poor,Low,3,3,3,39,3,140,Low,Secondary,Moderate,High,Fail
24,No,Moderate,Fair,Average,Always,Low,No,Very Poor,Low,1,2,3,41,4,217,Medium,Tertiary,Moderate,Moderate,Pass
16,Yes,Active,Good,Poor,Sometimes,None,No,Irregular,High,1,1,2,72,3,162,High,Primary,Poor,High,Fail
22,No,Moderate,Good,Good,Rarely,Moderate,No,Irregular,Moderate,2,1,2,3,12,276,High,Secondary,Moderate,Low,Pass
22,No,Active,Excellent,Good,Sometimes,High,No,Irregular,Moderate,3,2,3,59,10,328,High,Primary,Poor,High,Pass
25,No,Moderate,Fair,Average,Sometimes,None,Yes,Irregular,Moderate,2,2,3,88,7,343,High,Tertiary,Good,Moderate,Pass
22,No,Moderate,Good,Good,Rarely,High,No,Very Poor,Moderate,1,1,3,9,8,278,Medium,Secondary,Poor,High,Pass
27,No,Rarely,Fair,Poor,Sometimes,Moderate,No,Very Poor,Low,1,2,3,13,5,181,Medium,Primary,Good,Moderate,Fail
28,Yes,Active,Fair,Poor,Sometimes,Low,Yes,Irregular,High,2,3,2,15,10,213,High,Tertiary,Moderate,High,Pass
17,Yes,Rarely,Poor,Poor,Always,High,Yes,Irregular,Low,2,1,1,24,12,165,Medium,Tertiary,Poor,Low,Fail
28,No,Active,Fair,Good,Sometimes,Low,No,Regular,Moderate,3,2,1,56,11,322,High,Tertiary,Good,Low,Pass
26,Yes,Rarely,Excellent,Good,Rarely,Moderate,Yes,Very Poor,Low,1,1,1,82,5,238,Low,Primary,Moderate,Low,Pass
21,Yes,Rarely,Excellent,Good,Rarely,Moderate,No,Regular,Low,1,3,1,42,3,258,High,Tertiary,Moderate,Low,Pass
18,No,Active,Fair,Average,Always,High,No,Irregular,Low,1,2,1,66,2,172,Low,Secondary,Poor,Low,Fail
19,No,Moderate,Fair,Good,Rarely,Moderate,No,Very Poor,Low,3,1,1,75,12,332,Medium,Secondary,Poor,Moderate,Pass
25,Yes,Moderate,Poor,Average,Always,None,Yes,Regular,Moderate,2,1,2,18,2,295,Medium,Primary,Moderate,High,Pass
29,Yes,Active,Excellent,Good,Sometimes,Low,No,Irregular,Moderate,3,3,2,53,1,304,Medium,Tertiary,Good,High,Pass
27,Yes,Active,Poor,Good,Sometimes,Moderate,No,Irregular,High,1,1,3,66,12,351,Medium,Tertiary,Good,Moderate,Pass
21,No,Moderate,Poor,Poor,Sometimes,None,Yes,Regular,Low,2,3,1,84,12,284,Medium,Secondary,Moderate,High,Pass
23,Yes,Active,Excellent,Average,Sometimes,Low,Yes,Regular,Moderate,3,1,2,43,9,193,High,Tertiary,Moderate,High,Fail
20,No,Rarely,Poor,Poor,Always,Low,Yes,Very Poor,Moderate,1,3,2,13,11,306,Medium,Primary,Moderate,Moderate,Pass
30,No,Rarely,Fair,Average,Rarely,Low,No,Regular,Moderate,2,1,2,87,10,389,Low,Tertiary,Good,High,Pass
27,No,Rarely,Poor,Average,Sometimes,Moderate,No,Regular,Moderate,3,2,3,9,1,296,Medium,Tertiary,Good,Low,Pass
22,Yes,Moderate,Excellent,Poor,Sometimes,None,No,Very Poor,Moderate,2,3,3,51,11,126,Low,Primary,Good,Moderate,Fail
25,No,Active,Excellent,Average,Always,Low,Yes,Very Poor,Moderate,1,1,2,46,5,114,High,Tertiary,Poor,Moderate,Fail
28,No,Moderate,Excellent,Poor,Rarely,High,No,Very Poor,High,3,1,1,36,5,252,Medium,Secondary,Moderate,Moderate,Pass
29,Yes,Moderate,Good,Average,Rarely,High,Yes,Regular,High,3,2,3,8,4,147,Medium,Tertiary,Moderate,Moderate,Fail
23,Yes,Moderate,Good,Average,Always,High,No,Very Poor,Low,1,2,2,31,5,299,Medium,Tertiary,Poor,Moderate,Pass
19,No,Rarely,Excellent,Good,Rarely,None,No,Very Poor,Moderate,2,2,3,99,1,301,Medium,Primary,Good,Moderate,Pass
17,Yes,Moderate,Good,Poor,Always,Low,No,Irregular,Low,2,1,3,56,9,383,Medium,Tertiary,Poor,High,Pass
16,No,Rarely,Excellent,Poor,Rarely,Moderate,No,Regular,Moderate,2,1,1,58,8,134,Low,Primary,Moderate,High,Fail
20,Yes,Rarely,Fair,Poor,Sometimes,Low,Yes,Regular,Moderate,3,2,1,50,5,151,Medium,Primary,Good,Moderate,Fail
19,No,Rarely,Fair,Good,Always,High,No,Regular,Low,2,2,2,51,1,117,High,Secondary,Good,High,Fail
24,Yes,Moderate,Excellent,Good,Always,High,Yes,Irregular,High,2,2,2,55,2,241,High,Tertiary,Poor,Moderate,Pass
17,Yes,Moderate,Fair,Poor,Sometimes,Low,No,Irregular,High,1,1,3,3,0,343,Low,Secondary,Moderate,High,Pass
22,Yes,Moderate,Fair,Average,Always,High,Yes,Very Poor,High,1,1,3,60,5,299,Low,Tertiary,Moderate,Low,Pass
28,Yes,Moderate,Good,Average,Always,High,No,Regular,High,3,1,3,26,7,378,High,Primary,Moderate,High,Pass
20,Yes,Rarely,Excellent,Average,Sometimes,High,Yes,Irregular,Low,2,2,3,78,5,157,Medium,Tertiary,Good,Moderate,Fail
